"","dist","sample","model","prop_fails_hist","prop_fails_cond","pof_hist","pof_cond","tbfi_hist","tbfi_cond"
"1","norm","500","sGARCH","0.051","0.047","0.884994415865733","0.660286484806318","0.0988839313870499","0.326257482750131"
"2","norm","500","eGARCH","0.051","0.048","0.884994415865733","0.770244601379814","0.592485313189555","0.68083011808736"
"3","norm","500","gjrGARCH","0.049","0.047","0.884270830461629","0.660286484806318","0.733623435339376","0.517029285856374"
"4","norm","500","iGARCH","0.048","0.046","0.770244601379814","0.556551417147858","0.593423986373762","0.628353674382776"
"5","norm","750","sGARCH","0.049","0.049","0.884270830461629","0.884270830461629","0.134015302604923","0.200416997162192"
"6","norm","750","eGARCH","0.047","0.045","0.660286484806318","0.460852518142863","0.790947075633423","0.803166426556635"
"7","norm","750","gjrGARCH","0.05","0.044","1","0.37456058550562","0.355826336720043","0.712878184667128"
"8","norm","750","iGARCH","0.047","0.049","0.660286484806318","0.884270830461629","0.489791062575744","0.346120162128386"
"9","norm","1000","sGARCH","0.049","0.047","0.884270830461629","0.660286484806318","0.200416997162192","0.0904902154753163"
"10","norm","1000","eGARCH","0.047","0.044","0.660286484806318","0.37456058550562","0.950672218471094","0.674635540283378"
"11","norm","1000","gjrGARCH","0.049","0.044","0.884270830461629","0.37456058550562","0.764844587087778","0.674635540283378"
"12","norm","1000","iGARCH","0.047","0.047","0.660286484806318","0.660286484806318","0.840885042863384","0.54984631201343"
"13","sstd","500","sGARCH","0.051","0.051","0.884994415865733","0.884994415865733","0.0988839313870499","0.289812622418814"
"14","sstd","500","eGARCH","0.051","0.052","0.884994415865733","0.773049734319043","0.723386323657159","0.413765022013946"
"15","sstd","500","gjrGARCH","0.05","0.05","1","1","0.748146201755714","0.38040843937331"
"16","sstd","500","iGARCH","0.052","0.048","0.773049734319043","0.770244601379814","0.488693941856056","0.471827042025509"
"17","sstd","750","sGARCH","0.048","0.051","0.770244601379814","0.884994415865733","0.106149544979223","0.0835554917319167"
"18","sstd","750","eGARCH","0.047","0.047","0.660286484806318","0.660286484806318","0.568578952446453","0.790947075633423"
"19","sstd","750","gjrGARCH","0.049","0.049","0.884270830461629","0.884270830461629","0.538240962602532","0.584227358402882"
"20","sstd","750","iGARCH","0.047","0.047","0.660286484806318","0.660286484806318","0.467270081628062","0.740588008767066"
"21","sstd","1000","sGARCH","0.049","0.05","0.884270830461629","1","0.175984731090733","0.0389852390508719"
"22","sstd","1000","eGARCH","0.05","0.049","1","0.884270830461629","0.732358350853126","0.599251897126212"
"23","sstd","1000","gjrGARCH","0.051","0.049","0.884994415865733","0.884270830461629","0.67653822132915","0.413355356865272"
"24","sstd","1000","iGARCH","0.048","0.047","0.770244601379814","0.660286484806318","0.762253964199997","0.54984631201343"
